gene_id	gene_name	L1_P25558_101_S30	L1_P25558_102_S31	L1_P25558_103_S32	L1_P25558_104_S33	L1_P25558_106_S35	L2_P24120_101	L2_P24120_102	L2_P24120_104	L2_P24120_105	L2_P24120_106	L3_P24120_103_S130	L3_P24120_103_S51
gene-LOC106723569	LOC106723569	7.423	37.252	3.887	78.309	439.401	10.759	0	0	1.255	0	116.172	271.728
gene-LOC106723570	LOC106723570	0	0	0	0	0	0	1.719	0	0	0	0	0
gene-LOC106723571	LOC106723571	57	12.066	17.269	16.997	24.339	7	104.981	66.428	18	0	10	41.313
gene-LOC106723572	LOC106723572	535.002	218.9	798.925	431.682	347.731	180.642	966.369	892.883	223.941	0	297.762	779.093
gene-LOC106723574	LOC106723574	0	6	5.396	1	1	6	2	1	1	0	2.636	9
gene-LOC106723575	LOC106723575	56.126	39.083	42.451	69.276	45.501	10	30.601	25.235	26.045	0	13.521	51.513
gene-LOC106723576	LOC106723576	70	145	916	77	345	207.921	2273.431	1164.098	111	0	237	649
gene-LOC106723577	LOC106723577	0	0	0	0	0	0	0	0	0	0	0	0
gene-LOC106723578	LOC106723578	651.003	686.985	927.991	587.926	609.954	443.613	1281.505	1093.965	353	0	442.069	1252.199
gene-LOC106723580	LOC106723580	522	708	834.99	536.031	364	528	1246.026	885.038	417.031	0	434	1144.042
gene-LOC106723581	LOC106723581	1	0	192	0	5	0	538	2	0	0	5	9
gene-LOC106723582	LOC106723582	3.174	7.102	26.723	3.302	12.157	12.03	9.427	13.025	10	0	1.05	4.319
gene-LOC106723583	LOC106723583	571.001	47	643	56	699	38	437	595.999	43	0	305.208	920.716
gene-LOC106723584	LOC106723584	34.196	0	22.781	8.684	18.789	13.474	7.903	21.061	9.778	0	12.279	34.678
gene-LOC106723586	LOC106723586	385	396.035	737.118	135	252.03	223	652.278	301	94	0	273	718
gene-LOC106723587	LOC106723587	0	0	0	0	6.176	5	0	2	1.047	0	1	2
gene-LOC106723588	LOC106723588	0	6	15	15	15	0	7	0	7	0	5	19
gene-LOC106723589	LOC106723589	0	0	0	0	0	0	0	0	0	0	0	0
gene-LOC106723591	LOC106723591	3	10	2	25	9	0	0	0	10	0	0	0
gene-LOC106723592	LOC106723592	9	74	95	36	77	24	91	65	29.923	0	51	116
gene-LOC106723594	LOC106723594	0	0	0	0	0	0	0	0	0	0	0	0
gene-LOC106723596	LOC106723596	61	0	3	0	3	3	1	53.218	1	0	5	17.393
gene-LOC106723597	LOC106723597	0	14	16	5	36	8	13	5	2	0	8	13
gene-LOC106723598	LOC106723598	1450	2464.23	912.26	519.609	2867.992	1315.702	3764.521	4468.964	1184	0	599.842	1543.706
gene-LOC106723599	LOC106723599	153.571	9	68.93	111.8	174.762	6	136.421	287.888	233.41	0	36.305	113.261
gene-LOC106723600	LOC106723600	10	1	12	1	1	11	39	46	7	0	17	18
gene-LOC106723601	LOC106723601	13	6.339	3	6	1.061	0	0	6.552	1.048	0	2	0
gene-LOC106723602	LOC106723602	41	11	0	10	9	0	5	3	8.002	0	0	0
gene-LOC106723604	LOC106723604	0	6	1	14	3	0	1	0	2	0	0	0
gene-LOC106723605	LOC106723605	22	14	17	8	10	6	59.188	17	3	0	9	13
gene-LOC106723606	LOC106723606	0	5	1	7	3	7	2	0	11.988	0	0	0
gene-LOC106723607	LOC106723607	34	516.001	338	1099.001	12	430	459.001	10	1097.479	0	3	14
gene-LOC106723608	LOC106723608	552	544	911.145	332	429.024	318.578	701.983	1230.167	175.689	0	678.003	1805.513
gene-LOC106723609	LOC106723609	12	31.254	36.463	33.182	23.301	20.017	74.239	22.021	15.018	0	10.121	32.262
gene-LOC106723610	LOC106723610	0	8	16	10	5	3	7	0	0	0	2	5
gene-LOC106723612	LOC106723612	0	0	1.071	0	3.004	0	0	0	0	0	0	0
gene-LOC106723613	LOC106723613	0	0	0.918	0	0	0	0	0.989	0	0	0	0
gene-LOC106723614	LOC106723614	7872.426	2552.127	2227.318	1616.577	2989.353	2431.132	4237.161	5207.547	1357.002	0	1685.696	4550.258
gene-LOC106723615	LOC106723615	13	9.572	81.985	18.199	23.25	17.005	110.711	56.268	18.009	0	26.627	66.252
gene-LOC106723616	LOC106723616	8	30	17	6	65	14	70	66	20	0	17	42
gene-LOC106723617	LOC106723617	220	97.001	378	112	198	32	194	116.001	52	0	163.682	453.515
gene-LOC106723618	LOC106723618	6	0	0	14	5.394	0	0	0	5	0	0	1
gene-LOC106723619	LOC106723619	5499.677	61.868	131.567	19.309	897.812	125.657	412.522	1099.811	32.048	0	186.179	595.78
gene-LOC106723620	LOC106723620	205.441	411.675	1059.673	155.652	540.774	209	854.371	536.825	64	0	457.256	1229.48
gene-LOC106723621	LOC106723621	197	134	449.127	112	196.807	102	442	618.074	51	0	311	798.011
gene-LOC106723622	LOC106723622	183.003	47	262	114	140	38	325	359	87	0	128	340
gene-LOC106723623	LOC106723623	77.804	139.497	380.254	87.274	339.519	128.678	571.705	242.617	67.222	0	188.532	495.808
gene-LOC106723624	LOC106723624	30	58.478	199	56	97.008	28	158	12	31	0	25	78
gene-LOC106723625	LOC106723625	0	0	0	0	0	0	0	0	0	0	0	0
gene-LOC106723627	LOC106723627	0	3.029	66.423	4.061	28.598	4.156	46.953	76.022	1.017	0	60.242	162.572
gene-LOC106723629	LOC106723629	0	0	2	0	0	2	0	0	0	0	0	1
gene-LOC106723630	LOC106723630	0	0	0	0	0	0	2	0	0	0	0	0
gene-LOC106723631	LOC106723631	0	9	2	0	10	4	8	1	0	0	14	28
gene-LOC106723632	LOC106723632	0	0	0	0	0	0	0	0	0	0	0	0
gene-LOC106723633	LOC106723633	0	0	0	0	0	0	0	0	0	0	0	0
gene-LOC106723634	LOC106723634	42	21	2	6	1	0	1	0	7.179	0	0	0
gene-LOC106723635	LOC106723635	7	73.801	8	8	0	20	7	2	4	0	3	13
gene-LOC106723636	LOC106723636	0	1	28	0	2	3	87	0	0	0	0	0
gene-LOC106723638	LOC106723638	0	0	0	0	0	0	7	0	0	0	0	0
gene-LOC106723639	LOC106723639	0	0	0	0	0	0	0	0	0	0	0	0
gene-LOC106723640	LOC106723640	0	0	1	2.421	1	0	0	3	12	0	2	1
gene-LOC106723641	LOC106723641	0	0	0	0	0	0	0	0	0	0	0	0
gene-LOC106723642	LOC106723642	0	116.675	52.029	36.655	53.546	12.674	15.218	39.584	12.346	0	51.609	118.844
gene-LOC106723643	LOC106723643	0	0	0	0	0	0	0	0	0	0	0	0
gene-LOC106723644	LOC106723644	0	0	0	0	0	0	0	0	0	0	0	0
gene-LOC106723645	LOC106723645	0	15	32	0	7	35	18	1	0	0	6	19
gene-LOC106723646	LOC106723646	0	0	15	0	6	0	1	0	0	0	0	0
gene-LOC106723647	LOC106723647	47	7	65.261	1	74	1	56	12	0	0	1	4
gene-LOC106723648	LOC106723648	5.378	25.945	24.904	26.989	52.093	32.737	57.618	15.884	26.7	0	14.639	70.098
gene-LOC106723649	LOC106723649	28	5	5	18	23	2	5	8	4	0	5	24
gene-LOC106723650	LOC106723650	0	5	14	11	5	18	72	18	11	0	4	17
gene-LOC106723651	LOC106723651	0	0	3	0	0	0	11	1	0	0	1	6
gene-LOC106723652	LOC106723652	0	8	43	4	17	0	2	1	0	0	15	41
gene-LOC106723653	LOC106723653	51	136.704	38.857	137.102	21.844	259.96	52.991	50.915	123.052	0	12.675	43.676
gene-LOC106723655	LOC106723655	0	10.997	3	0	0	0	0	0	0	0	3	12
gene-LOC106723656	LOC106723656	0	0	0	0	0	0	0	0	2	0	0	0
gene-LOC106723657	LOC106723657	0	0	0	0	0	0	0	0	0	0	0	0
gene-LOC106723658	LOC106723658	0	2	1	0	2	0	0	0	0	0	4	2
gene-LOC106723659	LOC106723659	0	6.976	6.004	0	0	3	3	1	0	0	0	0
gene-LOC106723660	LOC106723660	0	1	3	0	0	0	3	0	0	0	0	5
gene-LOC106723661	LOC106723661	0	5	0	0	0	0	0	0	0	0	0	0
gene-LOC106723663	LOC106723663	3.003	3.019	26.167	0	0	3.004	55.99	2.002	5.007	0	3.054	8.092
gene-LOC106723664	LOC106723664	0	0	0	0	0	0	14.574	0	0	0	0	0
gene-LOC106723665	LOC106723665	0	158	131	75	57	1	5	11	0	0	68	146.001
gene-LOC106723666	LOC106723666	8	112	164.125	181	80	75	148	42	77	0	74	145
gene-LOC106723667	LOC106723667	24.396	1.062	67.187	0	0	0	154.738	8.065	0	0	0	2.364
gene-LOC106723668	LOC106723668	0	0	0	0	3	0	0	0	0	0	1	3
gene-LOC106723669	LOC106723669	0	0	0	1	0	0	0	0	0	0	0	0
gene-LOC106723670	LOC106723670	0	0	0	0	0	0	0	0	0	0	0	0
gene-LOC106723671	LOC106723671	0	3	5	0	4	0	2	0	0	0	4	7
gene-LOC106723672	LOC106723672	0	1	0	0	0	0	0	0	0	0	0	0
gene-LOC106723673	LOC106723673	0	1	13	0	3	3	14	8	0	0	1	8
gene-LOC106723674	LOC106723674	0	0	0	0	0	0	0	0	0	0	0	0
gene-LOC106723675	LOC106723675	37	0	2	2	19	26.001	110	31	15	0	2	8
gene-LOC106723676	LOC106723676	0	0	25	0	0	0	57	0	0	0	0	0
gene-LOC106723677	LOC106723677	0	0	0	0	0	0	0	0	0	0	0	0
gene-LOC106723678	LOC106723678	0	0	0	0	0	0	0	0	0	0	0	0
gene-LOC106723679	LOC106723679	0	113	39	38	10	12	2	3	0	0	8	23
gene-LOC106723680	LOC106723680	0	16	80	8	6	12	21	9	0	0	8	32
gene-LOC106723681	LOC106723681	1348.366	510	302	319	401	553	477	784.126	212	0	224	635
gene-LOC106723682	LOC106723682	0	0	0	0	0	0	0	0	0	0	0	0
gene-LOC106723683	LOC106723683	26	45	103	31	20	60	221	33	39	0	6	19
gene-LOC106723684	LOC106723684	0	18	1	2	6	3	0	4	4	0	0	2
gene-LOC106723685	LOC106723685	0	4	11	0	0	4	8	1	0	0	0	3
gene-LOC106723686	LOC106723686	40	0	0	1	18	2	2	18	1	0	2	10
gene-LOC106723687	LOC106723687	178	204	388	214	105	230	739.478	157.033	176.911	0	27.993	77
gene-LOC106723688	LOC106723688	0	18	13	114	12	7	6	16	100.078	0	20	55
gene-LOC106723689	LOC106723689	4	0	0	0	0	0	0	2	0	0	0	0
gene-LOC106723690	LOC106723690	23	7	8	3	4	37	42	12	0	0	5	3
gene-LOC106723691	LOC106723691	0	11	17	8	27	10	28	18	5	0	1	8
gene-LOC106723692	LOC106723692	93.002	11	24	7	58	15	33	71	1	0	25	79
gene-LOC106723693	LOC106723693	0	1	1	0	0	0	1	0	0	0	0	7
gene-LOC106723694	LOC106723694	0	0	0	0	2	0	0	0	0	0	0	0
gene-LOC106723695	LOC106723695	0	572	46	231	13	105	86	26	348.003	0	9	32
gene-LOC106723696	LOC106723696	432	996	602	54	149	1329	1307.099	1342	60	0	373	990
gene-LOC106723697	LOC106723697	0	23.451	21.24	12.746	12.382	11.686	6.466	8.681	4.327	0	16.838	41.703
gene-LOC106723699	LOC106723699	147.516	0	0	0	0	0	0	0	0	0	0	0
gene-LOC106723700	LOC106723700	0	0	2	0	3	0	0	0	0	0	0	0
gene-LOC106723701	LOC106723701	0	29	18	3	3	7	8	0	1	0	17	42
gene-LOC106723702	LOC106723702	7	63	98	29	165	8	16	2	4	0	280	811
gene-LOC106723703	LOC106723703	0	0	0	0	0	0	0	0	0	0	0	0
gene-LOC106723704	LOC106723704	18	55	213	10	13	54	189.012	24	29	0	29	72
gene-LOC106723705	LOC106723705	0	5	19	0	1	6	24	7	0	0	2	2
gene-LOC106723706	LOC106723706	4	191	310	417	100	26	83	11	17	0	40	115
gene-LOC106723707	LOC106723707	3885.553	1237.67	663	173	617	1188.326	1113.329	1443	137.009	0	491	1346
gene-LOC106723708	LOC106723708	3	7232.426	744.92	3096.804	313	7705.58	747	180	1871.817	0	267	715
gene-LOC106723709	LOC106723709	21	203	334	159	324	7	29	12	7	0	145	436
gene-LOC106723710	LOC106723710	234.606	218.45	273.869	90.643	309.773	124.946	240.16	71.951	9.146	0	109.105	297.251
gene-LOC106723711	LOC106723711	50	31	22	83	63	7	29	71	14	0	16	26
gene-LOC106723712	LOC106723712	136	8	1	9	19	1	7.006	19	1	0	2	10
gene-LOC106723713	LOC106723713	0	0	0	0	0	0	0	0	0	0	0	0
gene-LOC106723715	LOC106723715	733.931	1156.279	377.013	607.968	525.197	585.845	797.571	886.351	844.984	0	327.93	802.948
gene-LOC106723716	LOC106723716	189.715	67.679	35.806	31.375	46.245	235.421	40.921	39.195	7.427	0	11.695	32.851
gene-LOC106723717	LOC106723717	0	1130	40	238	2	371	2	0	71.001	0	17	55
gene-LOC106723718	LOC106723718	0	1501	18	571	5	592.043	3	0	255	0	20	67
gene-LOC106723719	LOC106723719	0	0	0	0	0	0	0	0	0	0	0	0
gene-LOC106723720	LOC106723720	0	3	27	0	6	0	77	21	0	0	0	3
gene-LOC106723721	LOC106723721	0	0	0	0	0	0	0	0	0	0	0	0
gene-LOC106723723	LOC106723723	0	0	0	0	0	0	0	0	0	0	0	0
gene-LOC106723724	LOC106723724	0	33	12	11	5	8	11	2	0	0	1	3
gene-LOC106723725	LOC106723725	11	29	34	18	21	18	84	60	49	0	3	12
gene-LOC106723726	LOC106723726	10	11	2	12	11	5	3	2	2	0	7	16
gene-LOC106723727	LOC106723727	0	0	0	0	0	0	0	0	0	0	0	0
gene-LOC106723728	LOC106723728	0	2	0	0	0	0	0	0	0	0	0	0
gene-LOC106723729	LOC106723729	0	0	3	0	6	0	2	0	0	0	0	0
gene-LOC106723730	LOC106723730	0	0	0	0	0	0	0	0	0	0	0	0
gene-LOC106723731	LOC106723731	24	17	15	20	103	23	51	10	12	0	20	61
gene-LOC106723732	LOC106723732	18	3	1	0	5	2	4	4	0	0	0	2
gene-LOC106723733	LOC106723733	0	16	19	4	1	13	13	10	1	0	11	21
gene-LOC106723734	LOC106723734	11	10	19	4	0	16	24	10	0	0	2	10
gene-LOC106723735	LOC106723735	0	0	6	0	3	0	17	0	0	0	0	0
gene-LOC106723736	LOC106723736	0	0	0	0	1	2	0	0	0	0	0	0
gene-LOC106723737	LOC106723737	0	0	0	0	0	0	0	0	0	0	0	0
gene-LOC106723738	LOC106723738	0	0	0	0	0	0	0	0	0	0	0	0
gene-LOC106723739	LOC106723739	1	39	101	136	2	72	221	2	118.001	0	0	0
gene-LOC106723740	LOC106723740	83	37	20	104	9	62	54	12	118	0	0	2
gene-LOC106723741	LOC106723741	0	0	0	0	2	3	0	0	0	0	0	0
gene-LOC106723742	LOC106723742	60.092	62.613	28.229	8.134	9.095	16.094	29.038	22.059	3	0	15.126	52.663
gene-LOC106723743	LOC106723743	0	0	0	0	0	0	0	0	0	0	0	0
gene-LOC106723744	LOC106723744	0	0	3	0	0	1	5	0	0	0	5	11
gene-LOC106723745	LOC106723745	24	5	17	2	27	4	29	24	3	0	8	20
gene-LOC106723746	LOC106723746	3.206	14	1	0	2	3	8	6.587	0	0	3	10
gene-LOC106723747	LOC106723747	0	0	1	0	0	0	0	0	0	0	0	0
gene-LOC106723748	LOC106723748	0	19.976	0	9.181	13.465	16.705	0	0	9.135	0	0	1.442
gene-LOC106723749	LOC106723749	0	0	0	0	0	0	0	0	0	0	0	0
gene-LOC106723750	LOC106723750	0	0	0	0	0	0	0	0	0	0	0	0
gene-LOC106723751	LOC106723751	0	0	0	0	0	0	0	0	0	0	0	0
gene-LOC106723752	LOC106723752	0	0	0	0	0	0	2	0	0	0	0	0
gene-LOC106723753	LOC106723753	0	0	0	0	0	0	0	0	0	0	0	0
gene-LOC106723754	LOC106723754	0	0	0	1	0	3	0	0	0	0	0	0
gene-LOC106723755	LOC106723755	205	0	49	10	46	2	131.058	20.001	1	0	9	30
gene-LOC106723756	LOC106723756	24	60	75	9	46.003	23	145.042	65	38	0	11	43
gene-LOC106723757	LOC106723757	30.932	253.508	104.778	259.956	410.902	54.844	59.769	149.946	96.897	0	152.731	358.114
gene-LOC106723758	LOC106723758	0	0	0	0	0	0	0	0	0	0	0	0
gene-LOC106723759	LOC106723759	63.04	26.197	179.437	6.01	15.054	22.001	309.066	19.007	10.001	0	6.019	15.044
gene-LOC106723760	LOC106723760	0	48	96	178	42	3	4	5	10	0	16	39
gene-LOC106723761	LOC106723761	42	161	464	437	102	22	73	4	31	0	40	90
gene-LOC106723763	LOC106723763	0	0	0	0	7	0	0	1	0	0	0	2
gene-LOC106723764	LOC106723764	4	4	16	1	2	7	48	6	6	0	2	7
gene-LOC106723765	LOC106723765	0	0	0	0	0	0	1	0	0	0	1	4
gene-LOC106723766	LOC106723766	0	0	0	0	0	0	0	0	0	0	0	0
gene-LOC106723767	LOC106723767	0	0	2	0	0	0	0	0	0	0	0	0
gene-LOC106723768	LOC106723768	0	0	0	0	0	0	0	0	0	0	0	0
gene-LOC106723769	LOC106723769	0	1	5	5	94	1	1	0	0	0	4	8
gene-LOC106723770	LOC106723770	0	35	42	20	34	34	106.082	65	7	0	15	40
gene-LOC106723771	LOC106723771	47	4089	1439	5459	22316	224	162	148	20	0	1231	3113
gene-LOC106723772	LOC106723772	13	37	67	12	38	21	77	21	8	0	18	61
gene-LOC106723774	LOC106723774	0	0	1	1	0	3	2	0	0	0	0	0
gene-LOC106723775	LOC106723775	4	0	0	1	4	0	0	0	0	0	0	0
gene-LOC106723776	LOC106723776	0	0	0	0	0	0	0	0	0	0	0	0
gene-LOC106723777	LOC106723777	0	0	2.257	0	4.787	0	0	1.057	0	0	3.291	6.928
gene-LOC106723778	LOC106723778	0	0	1	0	0	0	1	0	0	0	0	0
gene-LOC106723779	LOC106723779	0	0	0	0	0	0	0	0	0	0	0	0
gene-LOC106723780	LOC106723780	0	2	2	0	19	0	8	54	0	0	13	35
gene-LOC106723781	LOC106723781	0	6	10.001	5	3	6	15	1	2	0	1	10.002
gene-LOC106723782	LOC106723782	0	4	0	0	0	2	1	0	2	0	0	0
gene-LOC106723783	LOC106723783	14.001	0	3	4	8	1	3	15	1	0	1	8.002
gene-LOC106723784	LOC106723784	0	0	0	0	0	0	0	0	0	0	0	0
gene-LOC106723785	LOC106723785	0	20	7	1	1	0	0	0	0	0	0	0
gene-LOC106723786	LOC106723786	0	8	5	0	0	7	4	2	0	0	3	17
gene-LOC106723787	LOC106723787	0	5	22	2	17	0	6	5	0	0	26	44
gene-LOC106723788	LOC106723788	15	6	0	5	69	2	0	3	0	0	4	5
gene-LOC106723789	LOC106723789	0	1	3	3	0	0	1	0	0	0	0	1
gene-LOC106723790	LOC106723790	22	3640.666	1094.249	1333.775	7744.067	53	64	132.262	17	0	1030.474	2768.961
gene-LOC106723791	LOC106723791	0	703.334	316.751	2018.225	20921.933	1	1	6	0	0	116.526	305.039
gene-LOC106723792	LOC106723792	19	5	23	4	16	8	19	13	3	0	3	15
gene-LOC106723793	LOC106723793	0	0	4	0	1	0	1	0	0	0	0	0
gene-LOC106723794	LOC106723794	0	1	11	1	0	0	6	2	0	0	8	20
gene-LOC106723795	LOC106723795	0	0	0	0	0	0	0	0	0	0	0	0
gene-LOC106723796	LOC106723796	358.253	1.747	54.972	15	112.349	0	100.312	216.343	1	0	64.913	186.471
gene-LOC106723797	LOC106723797	0	0	0	0	6	0	0	0	0	0	1	4
gene-LOC106723798	LOC106723798	2	0	0	0	0	0	12	0	0	0	0	0
gene-LOC106723799	LOC106723799	0	0	0	0	0	0	0	0	0	0	0	0
gene-LOC106723800	LOC106723800	26	0	483	0	2	6	847	8	1	0	16	42
gene-LOC106723801	LOC106723801	9	47	136	87	66	24	73	13	39	0	69	144
gene-LOC106723802	LOC106723802	0	8	46	4	6	9	35	4	3	0	1	14
gene-LOC106723803	LOC106723803	0	0	6	0	0	0	4	0	0	0	0	0
gene-LOC106723804	LOC106723804	538.332	356.277	378.167	193.086	239.814	205.457	485.89	452.82	143.871	0	204.12	601.28
gene-LOC106723805	LOC106723805	147.673	0	0	0	62.572	14.922	0	42.312	0	0	0	0
gene-LOC106723806	LOC106723806	0	0	0	0	0	0	0	0	0	0	0	0
gene-LOC106723807	LOC106723807	0	0	8	0	0	1	11	0	0	0	0	0
gene-LOC106723808	LOC106723808	0	0	1	0	0	0	0	0	0	0	1	3
gene-LOC106723809	LOC106723809	1	0	2	0	0	0	0	1	0	0	0	0
gene-LOC106723810	LOC106723810	0	0	0	0	0	0	0	0	0	0	0	0
gene-LOC106723811	LOC106723811	1.418	8.507	62.571	1.564	12.448	3.001	18.917	8.078	0	0	17.574	31.626
gene-LOC106723812	LOC106723812	0	0	0	0	0	0	0	0	0	0	0	0
gene-LOC106723813	LOC106723813	0	0	0	0	0	0	0	0	0	0	0	0
gene-LOC106723814	LOC106723814	0	0	0	0	0	0	0	0	0	0	0	0
gene-LOC106723815	LOC106723815	0	0	0	0	0	0	0	0	0	0	0	0
gene-LOC106723816	LOC106723816	27	31	51	41	38	32	66	28	16	0	16	48
gene-LOC106723817	LOC106723817	0	48	6	9	7	19	21	0	3	0	1	1
gene-LOC106723818	LOC106723818	0	0	0	0	0	0	0	0	0	0	0	0
gene-LOC106723819	LOC106723819	0	0	2	0	0	0	0	0	0	0	0	0
gene-LOC106723820	LOC106723820	9	2	4	16	21	8	8	4	19	0	3	8
gene-LOC106723821	LOC106723821	0	22.72	16.215	25	11	12.009	28	6.001	7	0	3	13.793
gene-LOC106723822	LOC106723822	155.088	3.42	31.696	4.375	10.718	23.913	135.1	69.561	5.207	0	13.411	36.145
gene-LOC106723823	LOC106723823	192	158	83	197	50	216	251	66	429	0	8	18
gene-LOC106723824	LOC106723824	0	0	0	0	0	0	0	0	0	0	0	0
gene-LOC106723825	LOC106723825	196	50	123	73	35	110	552	226	183	0	14	37
gene-LOC106723826	LOC106723826	0	0	0	0	3	0	1	0	0	0	0	0
gene-LOC106723827	LOC106723827	6	14	13	17	7	22	35	56	15	0	5	14
gene-LOC106723828	LOC106723828	27	1	2	0	16	3	4	6	0	0	2	2
gene-LOC106723829	LOC106723829	2	38.591	3.301	2	10	15.43	12	1.022	26	0	1.285	2.462
gene-LOC106723830	LOC106723830	46.24	201.66	33.836	90.988	90.615	82.139	74.49	42.682	96.034	0	25.141	59.899
gene-LOC106723831	LOC106723831	0	6	72	6	11	10	276	13	6	0	4	8
gene-LOC106723832	LOC106723832	0	0	0	0	0	0	0	0	2	0	0	0
gene-LOC106723833	LOC106723833	0	62	33	3	2	13	54	2	5	0	6	9
gene-LOC106723834	LOC106723834	0	0	0	0	0	0	0	0	0	0	0	0
gene-LOC106723835	LOC106723835	0	3	1	0	0	4	1	0	0	0	3	0
gene-LOC106723836	LOC106723836	98	2	6	13	75	10	57	81	7	0	6	20
gene-LOC106723837	LOC106723837	0	0	0	0	0	0	0	0	0	0	0	0
gene-LOC106723838	LOC106723838	0	40	37	24	21	4	4	0	0	0	16	41
gene-LOC106723839	LOC106723839	0	0	0	0	0	0	0	0	0	0	0	0
gene-LOC106723840	LOC106723840	0	0	0	0	0	0	0	0	0	0	0	0
gene-LOC106723841	LOC106723841	0	0	0	0	0	0	0	0	0	0	0	0
gene-LOC106723842	LOC106723842	31	1	6	3	3	0	6	1	5	0	1	14
gene-LOC106723843	LOC106723843	0	0	1	0	3	0	0	0	0	0	0	0
gene-LOC106723844	LOC106723844	0	0	3	0	0	0	0	0	0	0	0	0
gene-LOC106723845	LOC106723845	0	0	2.025	0	1.691	0	0	0	0	0	0	8.123
gene-LOC106723846	LOC106723846	0	0	0	0	0	0	0	0	0	0	0	0
gene-LOC106723847	LOC106723847	0	150	333	43	90	30	41	35	5	0	87	271
gene-LOC106723848	LOC106723848	2	25.054	16.022	9.031	8	4.005	9.009	2	2	0	2.003	13.079
gene-LOC106723849	LOC106723849	0	0	0	0	0	0	0	0	0	0	0	0
gene-LOC106723850	LOC106723850	6	0	20	0	0	0	26	2	0	0	2	1
gene-LOC106723851	LOC106723851	0	96	10	78	0	305	6	0	373	0	2	3
gene-LOC106723852	LOC106723852	0	0	0	0	3	0	0	0	0	0	0	0
gene-LOC106723853	LOC106723853	0	2	1	2	4	1	1	1	0	0	0	0
gene-LOC106723854	LOC106723854	0	1	4	0	0	3	10	0	0	0	0	0
gene-LOC106723855	LOC106723855	0	85	1	140	2	12	1	0	9	0	5	7
gene-LOC106723856	LOC106723856	0	0	3	0	5	0	1	0	0	0	2	3
gene-LOC106723857	LOC106723857	0	0	0	0	0	0	0	0	0	0	0	0
gene-LOC106723858	LOC106723858	0	0	4	0	0	1	3	1	0	0	1	4
gene-LOC106723859	LOC106723859	184.675	15.399	4.566	15.314	0	97.632	51.553	86.655	35.958	0	9.074	25.109
gene-LOC106723860	LOC106723860	0	0	0	0	0	0	0	0	0	0	0	0
gene-LOC106723861	LOC106723861	0	13.001	16.459	10	30.648	6	4	0	3	0	4	13
gene-LOC106723862	LOC106723862	0	1	0	0	2.25	0	0	0	1	0	2	8
gene-LOC106723863	LOC106723863	0	0	0	5.126	7.928	0	0	1	2	0	4	16
gene-LOC106723865	LOC106723865	0	56	60	59	44	11	30	10	18	0	22	71.682
gene-LOC106723866	LOC106723866	0	2	2	5.017	2.265	0	0	0	0.973	0	0	4
gene-LOC106723867	LOC106723867	34.048	33.141	35.231	69.724	55.157	20.405	38.611	22.174	48.163	0	16	55.349
gene-LOC106723868	LOC106723868	79.207	66.866	80.551	83.969	62.843	44.202	51.82	18.085	42.16	0	16.204	39.554
gene-LOC106723869	LOC106723869	0	25	52	9	2	4	2	0	0	0	4	6
gene-LOC106723870	LOC106723870	0	0	0	0	0	0	0	0	0	0	0	0
gene-LOC106723871	LOC106723871	0	106.057	164.068	93.927	76.182	37.217	72.814	25.481	49.873	0	30.326	92.186
gene-LOC106723872	LOC106723872	0	89.823	148.628	85.467	86.076	43.824	117.199	25.165	50.953	0	21.683	72.429
gene-LOC106723873	LOC106723873	1247.908	102.016	276.477	96.842	246.294	118.273	358.453	303.707	39	0	137.193	397.463
gene-LOC106723874	LOC106723874	0	6	2	1	0	1	14	1	1	0	11	20
gene-LOC106723875	LOC106723875	964	248.753	99	114	485	445.012	184	1537.675	56	0	237.991	610.975
gene-LOC106723876	LOC106723876	0	36	31	24	39	5	21	6	2	0	57	146.001
gene-LOC106723877	LOC106723877	0	0	10	0	0	1	8.009	6	0	0	2	6
gene-LOC106723878	LOC106723878	0	0	0	2	5	0	0	0	0	0	0	0
gene-LOC106723879	LOC106723879	7	2	5	1	3	2	18	0	2	0	3	6
gene-LOC106723881	LOC106723881	0	0	1	4	0	0	2	0	3	0	0	0
gene-LOC106723882	LOC106723882	0	0	10	0	3	0	34	0	0	0	0	0
gene-LOC106723883	LOC106723883	0	3	4	2	6	0	0	0	0	0	2	13
gene-LOC106723884	LOC106723884	0	0	0	0	0	0	0	0	0	0	0	0
gene-LOC106723885	LOC106723885	0	0	0	0	0	0	0	0	0	0	0	0
gene-LOC106723886	LOC106723886	0	1	0	2	0	0	0	0	0	0	0	0
gene-LOC106723887	LOC106723887	9	576	275	363	301	33	223	30	104	0	100	229
gene-LOC106723888	LOC106723888	7	4	17	0	7	11	29	18	1	0	4	14
gene-LOC106723889	LOC106723889	24	16	47	0	55	0	2	5	0	0	43	107
gene-LOC106723890	LOC106723890	0	0	0	0	0	0	0	2	0	0	0	0
gene-LOC106723891	LOC106723891	0	1	2	1	2	7	5	0	0	0	0	0
gene-LOC106723892	LOC106723892	29	48	51	25	29	53	46	18	1	0	14	28
gene-LOC106723893	LOC106723893	0	229	598	102	238	70	199	84.035	52	0	137	401
gene-LOC106723894	LOC106723894	4	1	6	3	2	2	2	0	3	0	0	0
gene-LOC106723895	LOC106723895	0	0	0	0	0	0	0	0	0	0	0	0
gene-LOC106723896	LOC106723896	236.031	3	1862.565	9	10140.35	5	4604.936	10439.041	2	0	4638.488	12408.192
