rna-XM_005852746.1	gene-TOMM6	TOMM6
rna-XR_001363119.1	gene-LOC102247952	LOC102247952
rna-XR_001363120.1	gene-LOC106726971	LOC106726971
rna-XR_001363121.1	gene-LOC106726972	LOC106726972
rna-XR_001363110.1	gene-LOC106726966	LOC106726966
gene-LOC102256911	gene-LOC102256911	LOC102256911
rna-XM_014543855.1	gene-DCLK2	DCLK2
rna-XM_005871408.2	gene-LRBA	LRBA
rna-XM_014543866.1	gene-LRBA	LRBA
rna-XM_014543867.1	gene-LRBA	LRBA
rna-XM_014543868.1	gene-LRBA	LRBA
rna-XM_005871407.2	gene-MAB21L2	MAB21L2
gene-LOC102248442	gene-LOC102248442	LOC102248442
rna-XM_005871409.2	gene-RPS3A	RPS3A
rna-XM_014543871.1	gene-SH3D19	SH3D19
rna-XM_014543869.1	gene-SH3D19	SH3D19
rna-XM_014543870.1	gene-SH3D19	SH3D19
rna-XM_014543872.1	gene-SH3D19	SH3D19
rna-XM_014543856.1	gene-PRSS48	PRSS48
rna-XR_001363111.1	gene-LOC106726967	LOC106726967
rna-XM_005871411.2	gene-FAM160A1	FAM160A1
rna-XM_014543873.1	gene-FAM160A1	FAM160A1
rna-XM_014543874.1	gene-FAM160A1	FAM160A1
rna-XM_014543875.1	gene-FAM160A1	FAM160A1
rna-XM_014543876.1	gene-FAM160A1	FAM160A1
rna-XM_014543880.1	gene-FAM160A1	FAM160A1
rna-XM_014543878.1	gene-FAM160A1	FAM160A1
rna-XM_014543877.1	gene-FAM160A1	FAM160A1
rna-XM_014543879.1	gene-FAM160A1	FAM160A1
rna-XR_001363126.1	gene-LOC106726973	LOC106726973
rna-XM_005871413.2	gene-GATB	GATB
rna-XM_014543881.1	gene-GATB	GATB
rna-XR_001363125.1	gene-GATB	GATB
gene-LOC106726968	gene-LOC106726968	LOC106726968
gene-LOC102257822	gene-LOC102257822	LOC102257822
rna-XR_001363112.1	gene-LOC106726969	LOC106726969
rna-XM_005871415.2	gene-FBXW7	FBXW7
rna-XM_014543885.1	gene-FBXW7	FBXW7
rna-XM_005871416.2	gene-FBXW7	FBXW7
rna-XM_014543882.1	gene-FBXW7	FBXW7
rna-XM_014543883.1	gene-FBXW7	FBXW7
rna-XM_014543884.1	gene-FBXW7	FBXW7
rna-XM_014543891.1	gene-FBXW7	FBXW7
rna-XM_014543888.1	gene-FBXW7	FBXW7
rna-XM_014543889.1	gene-FBXW7	FBXW7
rna-XM_014543886.1	gene-FBXW7	FBXW7
rna-XM_014543887.1	gene-FBXW7	FBXW7
rna-XM_014543890.1	gene-FBXW7	FBXW7
rna-XR_001363127.1	gene-LOC106726974	LOC106726974
rna-XR_001363128.1	gene-LOC106726975	LOC106726975
rna-XR_001363129.1	gene-LOC106726976	LOC106726976
rna-XM_005871441.2	gene-TMEM154	TMEM154
rna-XM_014543893.1	gene-TMEM154	TMEM154
rna-XM_014543895.1	gene-TIGD4	TIGD4
rna-XM_005871417.2	gene-TIGD4	TIGD4
rna-XM_014543894.1	gene-TIGD4	TIGD4
rna-XM_005871421.2	gene-ARFIP1	ARFIP1
rna-XM_005871418.2	gene-ARFIP1	ARFIP1
rna-XM_005871422.2	gene-ARFIP1	ARFIP1
rna-XM_005871420.2	gene-ARFIP1	ARFIP1
rna-XM_014543897.1	gene-ARFIP1	ARFIP1
rna-XM_014543896.1	gene-ARFIP1	ARFIP1
rna-XM_005871423.2	gene-FHDC1	FHDC1
rna-XM_014543899.1	gene-FHDC1	FHDC1
rna-XM_014543900.1	gene-FHDC1	FHDC1
rna-XM_014543901.1	gene-FHDC1	FHDC1
rna-XM_005871435.2	gene-TRIM2	TRIM2
rna-XM_005871431.2	gene-TRIM2	TRIM2
rna-XM_005871434.2	gene-TRIM2	TRIM2
rna-XM_005871436.2	gene-TRIM2	TRIM2
rna-XM_005871433.2	gene-TRIM2	TRIM2
rna-XM_005871428.2	gene-TRIM2	TRIM2
rna-XM_005871429.2	gene-TRIM2	TRIM2
rna-XM_005871424.2	gene-TRIM2	TRIM2
rna-XM_005871430.2	gene-TRIM2	TRIM2
rna-XM_005871432.2	gene-TRIM2	TRIM2
rna-XM_005871427.2	gene-TRIM2	TRIM2
rna-XM_005871425.2	gene-TRIM2	TRIM2
rna-XM_005871426.2	gene-TRIM2	TRIM2
rna-XM_014543859.1	gene-MND1	MND1
rna-XM_014543902.1	gene-KIAA0922	KIAA0922
rna-XM_014543903.1	gene-TLR2	TLR2
rna-XM_005871444.2	gene-RNF175	RNF175
rna-XM_005871445.2	gene-SFRP2	SFRP2
rna-XM_014543857.1	gene-DCHS2	DCHS2
gene-LOC102256604	gene-LOC102256604	LOC102256604
gene-LOC102259910	gene-LOC102259910	LOC102259910
rna-XM_005871447.2	gene-LOC102260214	LOC102260214
rna-XM_005871448.2	gene-LOC102260520	LOC102260520
rna-XM_014543905.1	gene-LOC102261090	LOC102261090
gene-LOC102260814	gene-LOC102260814	LOC102260814
rna-XM_005871458.2	gene-HMCES	HMCES
rna-XM_005871450.2	gene-COPG1	COPG1
rna-XR_001363131.1	gene-LOC106726978	LOC106726978
rna-XM_005871451.2	gene-CNBP	CNBP
rna-XM_005871452.2	gene-CNBP	CNBP
rna-XM_005871453.2	gene-CNBP	CNBP
rna-XM_014543912.1	gene-CNBP	CNBP
rna-XM_014543908.1	gene-ISY1	ISY1
rna-XM_005871456.2	gene-ISY1	ISY1
rna-XM_014543910.1	gene-LOC102262396	LOC102262396
rna-XM_014543909.1	gene-LOC102262396	LOC102262396
rna-XM_005871455.2	gene-RAB43	RAB43
rna-XM_014543911.1	gene-RAB43	RAB43
rna-XM_005871457.2	gene-ARFGEF2	ARFGEF2
rna-XM_014543906.1	gene-ARFGEF2	ARFGEF2
rna-XM_014543913.1	gene-PREX1	PREX1
rna-XR_001363130.1	gene-LOC106726977	LOC106726977
rna-XM_005871479.1	gene-PRDM13	PRDM13
rna-XM_014543918.1	gene-CCNC	CCNC
rna-XM_005871460.2	gene-CCNC	CCNC
rna-XM_005871461.2	gene-TSTD3	TSTD3
rna-XM_014543915.1	gene-TSTD3	TSTD3
rna-XM_014543916.1	gene-TSTD3	TSTD3
rna-XM_014543917.1	gene-TSTD3	TSTD3
rna-XR_001363133.1	gene-LOC106726980	LOC106726980
rna-XM_005871462.2	gene-USP45	USP45
rna-XM_014543921.1	gene-PNISR	PNISR
rna-XM_005871463.2	gene-PNISR	PNISR
rna-XM_005871464.2	gene-PNISR	PNISR
rna-XM_014543919.1	gene-PNISR	PNISR
rna-XM_014543920.1	gene-PNISR	PNISR
rna-XM_005871465.2	gene-COQ3	COQ3
rna-XM_005871480.2	gene-FAXC	FAXC
rna-XM_005871466.2	gene-FBXL4	FBXL4
rna-XM_014543922.1	gene-FBXL4	FBXL4
rna-XM_014543923.1	gene-FBXL4	FBXL4
rna-XM_014543924.1	gene-FBXL4	FBXL4
rna-XM_014543925.1	gene-FBXL4	FBXL4
rna-XM_005871467.2	gene-POU3F2	POU3F2
gene-LOC102245836	gene-LOC102245836	LOC102245836
gene-LOC102246141	gene-LOC102246141	LOC102246141
rna-XM_014543929.1	gene-MMS22L	MMS22L
rna-XM_014543927.1	gene-MMS22L	MMS22L
rna-XM_005871468.2	gene-MMS22L	MMS22L
rna-XM_014543926.1	gene-MMS22L	MMS22L
rna-XM_014543928.1	gene-MMS22L	MMS22L
rna-XM_014543931.1	gene-MMS22L	MMS22L
rna-XM_014543932.1	gene-KLHL32	KLHL32
rna-XM_005871469.2	gene-KLHL32	KLHL32
rna-XM_005871470.2	gene-KLHL32	KLHL32
rna-XM_014543933.1	gene-LOC102246453	LOC102246453
rna-XM_005871471.2	gene-NDUFAF4	NDUFAF4
rna-XM_005871473.2	gene-GPR63	GPR63
rna-XM_005871474.2	gene-FHL5	FHL5
rna-XM_005871475.2	gene-UFL1	UFL1
rna-XM_005871476.2	gene-FUT9	FUT9
gene-LOC102243757	gene-LOC102243757	LOC102243757
gene-LOC102246765	gene-LOC102246765	LOC102246765
rna-XM_005871477.2	gene-MANEA	MANEA
gene-LOC102244641	gene-LOC102244641	LOC102244641
rna-XR_001363132.1	gene-LOC106726979	LOC106726979
rna-XM_005871482.2	gene-LOC102247376	LOC102247376
rna-XM_014543945.1	gene-RASA1	RASA1
rna-XR_001363136.1	gene-CCNH	CCNH
rna-XM_014543940.1	gene-CCNH	CCNH
rna-XM_014543944.1	gene-CCNH	CCNH
rna-XM_014543939.1	gene-CCNH	CCNH
rna-XM_014543941.1	gene-CCNH	CCNH
rna-XM_014543942.1	gene-CCNH	CCNH
rna-XR_001363137.1	gene-CCNH	CCNH
rna-XM_005871483.2	gene-CCNH	CCNH
rna-XM_014543943.1	gene-CCNH	CCNH
rna-XM_005871485.2	gene-TMEM161B	TMEM161B
rna-XM_014543946.1	gene-TMEM161B	TMEM161B
rna-XM_014543947.1	gene-TMEM161B	TMEM161B
rna-XM_014543949.1	gene-TMEM161B	TMEM161B
rna-XM_014543950.1	gene-TMEM161B	TMEM161B
rna-XM_014543948.1	gene-TMEM161B	TMEM161B
rna-XR_001363138.1	gene-LOC106726985	LOC106726985
rna-XR_001363139.1	gene-LOC106726986	LOC106726986
rna-XR_001363140.1	gene-LOC106726987	LOC106726987
rna-XM_014543954.1	gene-MEF2C	MEF2C
rna-XM_014543955.1	gene-MEF2C	MEF2C
rna-XM_005871486.2	gene-MEF2C	MEF2C
rna-XM_005871491.2	gene-MEF2C	MEF2C
rna-XM_014543953.1	gene-MEF2C	MEF2C
rna-XM_014543957.1	gene-MEF2C	MEF2C
rna-XM_005871490.2	gene-MEF2C	MEF2C
rna-XM_005871492.2	gene-MEF2C	MEF2C
rna-XM_005871488.2	gene-MEF2C	MEF2C
rna-XM_014543951.1	gene-MEF2C	MEF2C
rna-XM_005871489.2	gene-MEF2C	MEF2C
rna-XM_014543952.1	gene-MEF2C	MEF2C
rna-XM_014543956.1	gene-MEF2C	MEF2C
rna-XR_313880.2	gene-LOC102250128	LOC102250128
rna-XR_001363141.1	gene-LOC102250128	LOC102250128
rna-XR_001363147.1	gene-LOC106726991	LOC106726991
rna-XR_001363143.1	gene-LOC106726989	LOC106726989
rna-XR_001363145.1	gene-LOC106726990	LOC106726990
rna-XR_001363146.1	gene-LOC106726990	LOC106726990
rna-XR_001363144.1	gene-LOC106726990	LOC106726990
rna-XR_001363142.1	gene-LOC106726988	LOC106726988
rna-XM_005871493.2	gene-CETN3	CETN3
rna-XR_001363148.1	gene-LOC106726992	LOC106726992
rna-XM_005871536.2	gene-MBLAC2	MBLAC2
rna-XM_014543958.1	gene-POLR3G	POLR3G
gene-LOC106726993	gene-LOC106726993	LOC106726993
gene-LOC102263937	gene-LOC102263937	LOC102263937
rna-XM_005871495.2	gene-LYSMD3	LYSMD3
rna-XM_005871499.2	gene-ADGRV1	ADGRV1
rna-XM_005871500.2	gene-ARRDC3	ARRDC3
rna-XM_014543959.1	gene-ARRDC3	ARRDC3
rna-XR_001363149.1	gene-LOC106726994	LOC106726994
gene-LOC102252412	gene-LOC102252412	LOC102252412
rna-XM_005871537.1	gene-LOC102239838	LOC102239838
rna-XR_001363150.1	gene-LOC106726995	LOC106726995
rna-XR_001363151.1	gene-LOC102252913	LOC102252913
rna-XR_001363152.1	gene-LOC102253206	LOC102253206
rna-XM_005871538.2	gene-NR2F1	NR2F1
rna-XM_014543961.1	gene-FAM172A	FAM172A
rna-XM_014543960.1	gene-FAM172A	FAM172A
rna-XM_014543963.1	gene-FAM172A	FAM172A
rna-XM_014543965.1	gene-FAM172A	FAM172A
rna-XM_014543962.1	gene-FAM172A	FAM172A
rna-XM_005871501.2	gene-POU5F2	POU5F2
gene-LOC102253397	gene-LOC102253397	LOC102253397
rna-XM_014543966.1	gene-KIAA0825	KIAA0825
gene-LOC102240451	gene-LOC102240451	LOC102240451
rna-XM_005871508.2	gene-SLF1	SLF1
rna-XM_014543967.1	gene-SLF1	SLF1
rna-XM_014543968.1	gene-SLF1	SLF1
rna-XR_001363154.1	gene-LOC102256912	LOC102256912
rna-XR_001363153.1	gene-LOC102256912	LOC102256912
rna-XM_005871510.2	gene-MCTP1	MCTP1
rna-XM_014543970.1	gene-MCTP1	MCTP1
rna-XM_014543971.1	gene-MCTP1	MCTP1
rna-XM_014543972.1	gene-MCTP1	MCTP1
rna-XM_014543973.1	gene-MCTP1	MCTP1
rna-XM_014543974.1	gene-MCTP1	MCTP1
rna-XM_014543976.1	gene-MCTP1	MCTP1
rna-XM_014543977.1	gene-MCTP1	MCTP1
rna-XM_014543978.1	gene-MCTP1	MCTP1
rna-XM_014543979.1	gene-MCTP1	MCTP1
rna-XM_014543975.1	gene-MCTP1	MCTP1
rna-XM_014543980.1	gene-MCTP1	MCTP1
rna-XM_005871512.2	gene-MCTP1	MCTP1
gene-LOC102256605	gene-LOC102256605	LOC102256605
gene-LOC102241050	gene-LOC102241050	LOC102241050
rna-XM_014543934.1	gene-LOC106726982	LOC106726982
rna-XM_014543938.1	gene-FAM81B	FAM81B
gene-LOC106726981	gene-LOC106726981	LOC106726981
rna-XM_005871516.2	gene-TTC37	TTC37
rna-XM_014543981.1	gene-TTC37	TTC37
rna-XM_005871515.2	gene-TTC37	TTC37
rna-XM_014543982.1	gene-TTC37	TTC37
rna-XM_014543983.1	gene-TTC37	TTC37
rna-XM_014543935.1	gene-ARSK	ARSK
rna-XM_014543936.1	gene-GPR150	GPR150
rna-XM_014543984.1	gene-LOC102257942	LOC102257942
rna-XM_014543992.1	gene-RFESD	RFESD
rna-XM_014543991.1	gene-RFESD	RFESD
rna-XM_005871519.2	gene-RFESD	RFESD
rna-XR_001363155.1	gene-SPATA9	SPATA9
rna-XR_001363156.1	gene-SPATA9	SPATA9
rna-XM_014543990.1	gene-SPATA9	SPATA9
rna-XM_014543989.1	gene-SPATA9	SPATA9
rna-XM_005871517.2	gene-SPATA9	SPATA9
rna-XM_014543985.1	gene-SPATA9	SPATA9
rna-XM_014543986.1	gene-SPATA9	SPATA9
rna-XM_014543987.1	gene-SPATA9	SPATA9
rna-XM_014543988.1	gene-SPATA9	SPATA9
rna-XM_014543937.1	gene-RHOBTB3	RHOBTB3
rna-XM_005871521.2	gene-GLRX	GLRX
rna-XM_005871522.2	gene-GLRX	GLRX
rna-XM_005871543.2	gene-ELL2	ELL2
rna-XM_005871523.2	gene-PCSK1	PCSK1
rna-XR_001363134.1	gene-LOC106726983	LOC106726983
rna-XM_014543997.1	gene-CAST	CAST
rna-XM_014543993.1	gene-CAST	CAST
rna-XM_014543994.1	gene-CAST	CAST
rna-XM_014543995.1	gene-CAST	CAST
rna-XM_014543996.1	gene-CAST	CAST
rna-XM_014543998.1	gene-CAST	CAST
rna-XM_014543999.1	gene-CAST	CAST
rna-XM_014544000.1	gene-CAST	CAST
rna-XM_014544001.1	gene-CAST	CAST
rna-XM_014544004.1	gene-CAST	CAST
rna-XM_014544002.1	gene-CAST	CAST
rna-XM_014544003.1	gene-CAST	CAST
rna-XM_005871525.2	gene-ERAP1	ERAP1
rna-XM_014544005.1	gene-ERAP2	ERAP2
rna-XM_005871527.2	gene-LNPEP	LNPEP
rna-XM_005871529.2	gene-LIX1	LIX1
rna-XM_005871528.2	gene-LIX1	LIX1
rna-XM_005871530.2	gene-LOC102261685	LOC102261685
rna-XM_005871531.2	gene-RIOK2	RIOK2
rna-XM_014544006.1	gene-RIOK2	RIOK2
rna-XM_005871544.1	gene-LOC102242887	LOC102242887
rna-XR_001363157.1	gene-LOC106726996	LOC106726996
rna-XM_005871545.2	gene-RGMB	RGMB
rna-XM_005871533.2	gene-CHD1	CHD1
rna-XM_014544007.1	gene-CHD1	CHD1
rna-XR_001363158.1	gene-LOC106726997	LOC106726997
gene-LOC102243468	gene-LOC102243468	LOC102243468
gene-LOC102243758	gene-LOC102243758	LOC102243758
rna-XM_005871546.1	gene-FAM174A	FAM174A
gene-LOC102244344	gene-LOC102244344	LOC102244344
rna-XM_005871534.2	gene-ST8SIA4	ST8SIA4
rna-XM_014544008.1	gene-ST8SIA4	ST8SIA4
rna-XR_001363159.1	gene-ST8SIA4	ST8SIA4
gene-LOC102244642	gene-LOC102244642	LOC102244642
rna-XR_001363135.1	gene-LOC106726984	LOC106726984
id-LOC106726999	gene-LOC106726999	LOC106726999
id-LOC106727001	gene-LOC106727001	LOC106727001
id-LOC106727000	gene-LOC106727000	LOC106727000
rna-XM_005871547.2	gene-LOC102244939	LOC102244939
rna-XM_005871551.2	gene-LOC102245837	LOC102245837
rna-XM_014544010.1	gene-LOC102245837	LOC102245837
rna-XM_005871553.2	gene-LOC102246346	LOC102246346
id-LOC106727002	gene-LOC106727002	LOC106727002
gene-LOC106727003	gene-LOC106727003	LOC106727003
rna-XM_005871574.2	gene-LOC102252027	LOC102252027
gene-LOC102252325	gene-LOC102252325	LOC102252325
gene-LOC102252611	gene-LOC102252611	LOC102252611
rna-XM_005871556.2	gene-SLITRK2	SLITRK2
rna-XM_014544012.1	gene-SLITRK2	SLITRK2
gene-LOC102252914	gene-LOC102252914	LOC102252914
gene-LOC102253207	gene-LOC102253207	LOC102253207
rna-XM_005871575.1	gene-LOC102253510	LOC102253510
gene-LOC102253814	gene-LOC102253814	LOC102253814
gene-LOC102254114	gene-LOC102254114	LOC102254114
rna-XM_014544014.1	gene-FMR1	FMR1
rna-XM_014544016.1	gene-FMR1	FMR1
rna-XM_014544017.1	gene-FMR1	FMR1
rna-XM_005871557.2	gene-FMR1	FMR1
rna-XM_005871558.2	gene-FMR1	FMR1
rna-XM_005871559.2	gene-FMR1	FMR1
rna-XM_005871560.2	gene-FMR1	FMR1
rna-XM_005871561.2	gene-FMR1	FMR1
rna-XM_005871562.2	gene-FMR1	FMR1
rna-XM_005871563.2	gene-FMR1	FMR1
rna-XM_005871564.2	gene-FMR1	FMR1
rna-XM_005871565.2	gene-FMR1	FMR1
rna-XM_005871566.2	gene-FMR1	FMR1
rna-XM_005871567.2	gene-FMR1	FMR1
rna-XM_014544013.1	gene-FMR1	FMR1
rna-XM_014544011.1	gene-FMR1NB	FMR1NB
gene-LOC102254415	gene-LOC102254415	LOC102254415
gene-LOC102249741	gene-LOC102249741	LOC102249741
gene-LOC102250034	gene-LOC102250034	LOC102250034
gene-LOC102254699	gene-LOC102254699	LOC102254699
rna-XM_005871569.2	gene-AFF2	AFF2
rna-XM_005871570.2	gene-AFF2	AFF2
rna-XM_014544018.1	gene-AFF2	AFF2
rna-XM_014544019.1	gene-AFF2	AFF2
gene-LOC102251724	gene-LOC102251724	LOC102251724
rna-XM_005871572.2	gene-IDS	IDS
rna-XM_005871573.2	gene-IDS	IDS
rna-XM_005871576.2	gene-LOC102255303	LOC102255303
rna-XM_014544020.1	gene-LOC106727005	LOC106727005
rna-XR_001363160.1	gene-LOC106727006	LOC106727006
gene-LOC102255604	gene-LOC102255604	LOC102255604
rna-XM_014544022.1	gene-TRIM26	TRIM26
rna-XM_005871577.2	gene-TRIM26	TRIM26
rna-XM_005871578.2	gene-TRIM26	TRIM26
rna-XM_014544021.1	gene-TRIM26	TRIM26
rna-XM_014544023.1	gene-TRIM26	TRIM26
rna-XM_014544024.1	gene-LOC106727007	LOC106727007
gene-LOC102257012	gene-LOC102257012	LOC102257012
id-LOC106727008	gene-LOC106727008	LOC106727008
rna-XM_005871579.2	gene-CFTR	CFTR
rna-XR_001363161.1	gene-LOC106727011	LOC106727011
rna-XM_014544027.1	gene-CTTNBP2	CTTNBP2
gene-LOC106727010	gene-LOC106727010	LOC106727010
rna-XR_001363162.1	gene-LOC106727012	LOC106727012
rna-XM_014544025.1	gene-LOC102260215	LOC102260215
rna-XM_014544026.1	gene-LOC106727009	LOC106727009
rna-XM_014544028.1	gene-LSM8	LSM8
rna-XM_005871581.2	gene-LSM8	LSM8
rna-XM_014544029.1	gene-LSM8	LSM8
rna-XM_005871585.1	gene-ANKRD7	ANKRD7
gene-LOC102260815	gene-LOC102260815	LOC102260815
gene-LOC102258547	gene-LOC102258547	LOC102258547
gene-LOC102258834	gene-LOC102258834	LOC102258834
rna-XM_005871582.2	gene-LOC102259131	LOC102259131
gene-LOC102261091	gene-LOC102261091	LOC102261091
gene-LOC102261384	gene-LOC102261384	LOC102261384
gene-LOC102259607	gene-LOC102259607	LOC102259607
rna-XR_001363163.1	gene-LOC106727013	LOC106727013
rna-XR_001363164.1	gene-LOC106727014	LOC106727014
rna-XM_014544030.1	gene-CDCA4	CDCA4
rna-XR_313887.2	gene-LOC102262605	LOC102262605
rna-XM_014544031.1	gene-AHNAK2	AHNAK2
rna-XM_014544032.1	gene-PLD4	PLD4
rna-XM_005871590.2	gene-NDP	NDP
rna-XM_005871593.2	gene-LOC102239839	LOC102239839
rna-XM_014544033.1	gene-EFHC2	EFHC2
rna-XM_005871594.1	gene-LOC102240147	LOC102240147
gene-LOC102240452	gene-LOC102240452	LOC102240452
rna-XM_005871591.2	gene-FUNDC1	FUNDC1
rna-XM_005871596.2	gene-DUSP21	DUSP21
rna-XM_014544035.1	gene-KDM6A	KDM6A
rna-XM_014544038.1	gene-KDM6A	KDM6A
rna-XM_014544039.1	gene-KDM6A	KDM6A
rna-XM_014544043.1	gene-KDM6A	KDM6A
rna-XM_014544046.1	gene-KDM6A	KDM6A
rna-XM_014544047.1	gene-KDM6A	KDM6A
rna-XM_014544044.1	gene-KDM6A	KDM6A
rna-XM_014544048.1	gene-KDM6A	KDM6A
rna-XM_014544049.1	gene-KDM6A	KDM6A
rna-XM_014544050.1	gene-KDM6A	KDM6A
rna-XM_014544045.1	gene-KDM6A	KDM6A
rna-XM_014544040.1	gene-KDM6A	KDM6A
rna-XM_014544041.1	gene-KDM6A	KDM6A
rna-XM_014544036.1	gene-KDM6A	KDM6A
rna-XM_014544037.1	gene-KDM6A	KDM6A
rna-XM_014544042.1	gene-KDM6A	KDM6A
rna-XM_014544034.1	gene-LOC102241664	LOC102241664
gene-LOC102238683	gene-LOC102238683	LOC102238683
gene-LOC102241972	gene-LOC102241972	LOC102241972
rna-XR_001363166.1	gene-LOC102239002	LOC102239002
rna-XR_001363167.1	gene-LOC102239002	LOC102239002
rna-XR_313888.2	gene-LOC102239002	LOC102239002
gene-LOC102239218	gene-LOC102239218	LOC102239218
rna-XR_001363165.1	gene-LOC106727015	LOC106727015
rna-XM_005871592.2	gene-ZNF674	ZNF674
rna-XM_014544054.1	gene-ZNF674	ZNF674
rna-XM_014544053.1	gene-ZNF674	ZNF674
rna-XM_014544052.1	gene-ZNF674	ZNF674
rna-XR_001363168.1	gene-LOC106727017	LOC106727017
rna-XM_005871599.2	gene-SLC9A7	SLC9A7
rna-XM_014544051.1	gene-SLC9A7	SLC9A7
gene-LOC106727018	gene-LOC106727018	LOC106727018
rna-XM_014544055.1	gene-LOC102242578	LOC102242578
rna-XR_001363170.1	gene-LOC106727019	LOC106727019
rna-XM_014544056.1	gene-LOC102242888	LOC102242888
rna-XM_005871601.2	gene-LOC102243192	LOC102243192
rna-XM_014544061.1	gene-LOC106727020	LOC106727020
rna-XR_001363171.1	gene-LOC106727021	LOC106727021
rna-XM_014544059.1	gene-LOC102244432	LOC102244432
rna-XM_014544060.1	gene-LOC102244432	LOC102244432
rna-XM_014544062.1	gene-LOC102243469	LOC102243469
rna-XR_001363172.1	gene-LOC106727022	LOC106727022
rna-XM_014544057.1	gene-URI1	URI1
rna-XR_313890.2	gene-LOC102243947	LOC102243947
rna-XM_014544058.1	gene-LOC102245626	LOC102245626
rna-XM_005871603.2	gene-TSHZ3	TSHZ3
rna-XM_005871631.2	gene-LOC102252799	LOC102252799
gene-LOC102253104	gene-LOC102253104	LOC102253104
rna-XM_005871609.2	gene-EDNRB	EDNRB
gene-LOC102246554	gene-LOC102246554	LOC102246554
gene-LOC102246858	gene-LOC102246858	LOC102246858
rna-XM_005871610.2	gene-SLAIN1	SLAIN1
rna-XM_005871611.2	gene-SLAIN1	SLAIN1
rna-XM_014544065.1	gene-SCEL	SCEL
rna-XM_014544066.1	gene-SCEL	SCEL
rna-XM_014544067.1	gene-SCEL	SCEL
rna-XM_014544068.1	gene-SCEL	SCEL
rna-XM_014544069.1	gene-SCEL	SCEL
rna-XM_014544070.1	gene-SCEL	SCEL
rna-XM_014544071.1	gene-SCEL	SCEL
rna-XR_001363178.1	gene-LOC106727029	LOC106727029
rna-XM_014544063.1	gene-MYCBP2	MYCBP2
rna-XR_001363179.1	gene-LOC106727030	LOC106727030
rna-XM_005871613.2	gene-FBXL3	FBXL3
rna-XM_014544073.1	gene-CLN5	CLN5
rna-XR_001363173.1	gene-LOC106727023	LOC106727023
rna-XM_005871633.2	gene-IRG1	IRG1
rna-XM_005871634.2	gene-KCTD12	KCTD12
rna-XR_001363180.1	gene-LOC106727031	LOC106727031
rna-XR_001363176.1	gene-LOC106727026	LOC106727026
gene-LOC102248749	gene-LOC102248749	LOC102248749
rna-XM_005871635.2	gene-LOC102254308	LOC102254308
rna-XR_001363177.1	gene-LOC106727027	LOC106727027
rna-XM_014544082.1	gene-LMO7	LMO7
rna-XM_014544074.1	gene-LMO7	LMO7
rna-XM_014544075.1	gene-LMO7	LMO7
rna-XM_014544076.1	gene-LMO7	LMO7
rna-XM_014544081.1	gene-LMO7	LMO7
rna-XM_014544079.1	gene-LMO7	LMO7
rna-XM_014544080.1	gene-LMO7	LMO7
rna-XM_014544077.1	gene-LMO7	LMO7
rna-XM_014544078.1	gene-LMO7	LMO7
gene-LOC102252497	gene-LOC102252497	LOC102252497
rna-XR_001363174.1	gene-LOC106727024	LOC106727024
rna-XR_001363175.1	gene-LOC106727024	LOC106727024
rna-XM_005871636.2	gene-LOC102254599	LOC102254599
rna-XM_014544085.1	gene-UCHL3	UCHL3
rna-XM_014544083.1	gene-UCHL3	UCHL3
rna-XR_001363181.1	gene-UCHL3	UCHL3
rna-XM_014544084.1	gene-UCHL3	UCHL3
rna-XR_001363182.1	gene-LOC106727032	LOC106727032
rna-XM_005871627.2	gene-COMMD6	COMMD6
rna-XM_014544086.1	gene-COMMD6	COMMD6
rna-XM_014544087.1	gene-TBC1D4	TBC1D4
rna-XM_014544088.1	gene-TBC1D4	TBC1D4
rna-XM_014544089.1	gene-TBC1D4	TBC1D4
rna-XM_014544090.1	gene-TBC1D4	TBC1D4
rna-XM_014544091.1	gene-TBC1D4	TBC1D4
rna-XM_014544092.1	gene-TBC1D4	TBC1D4
rna-XM_014544093.1	gene-TBC1D4	TBC1D4
rna-XM_014544094.1	gene-TBC1D4	TBC1D4
gene-LOC106727025	gene-LOC106727025	LOC106727025
rna-XM_005871637.2	gene-LOC102255195	LOC102255195
rna-XM_014544096.1	gene-ASPH	ASPH
rna-XM_014544097.1	gene-ASPH	ASPH
rna-XM_005871639.2	gene-ASPH	ASPH
rna-XM_005871638.2	gene-CLVS1	CLVS1
rna-XR_001363184.1	gene-LOC106727034	LOC106727034
gene-LOC102238787	gene-LOC102238787	LOC102238787
gene-LOC102239101	gene-LOC102239101	LOC102239101
rna-XM_014544101.1	gene-CHD7	CHD7
rna-XM_014544098.1	gene-CHD7	CHD7
rna-XM_014544099.1	gene-CHD7	CHD7
rna-XM_014544100.1	gene-CHD7	CHD7
rna-XR_001363185.1	gene-LOC106727035	LOC106727035
rna-XR_001363186.1	gene-LOC106727035	LOC106727035
rna-XM_005871644.2	gene-RAB2A	RAB2A
gene-LOC102257013	gene-LOC102257013	LOC102257013
gene-LOC102257626	gene-LOC102257626	LOC102257626
rna-XM_005871667.2	gene-CA8	CA8
gene-LOC102239717	gene-LOC102239717	LOC102239717
rna-XR_313891.1	gene-LOC102257944	LOC102257944
rna-XM_005871646.2	gene-TOX	TOX
rna-XM_014544102.1	gene-TOX	TOX
rna-XM_014544103.1	gene-TOX	TOX
rna-XM_014544105.1	gene-TOX	TOX
